"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09","2019-10","2019-11","2019-12"
"California",1,330777,335000,337850,339900,342800,345000,339900,339900,329900,324900,315000,299900,299000,294900,299000,299000,299978,299950,299900,299900,299000,299000,289900,284900,281900,285000,289000,295000,299900,309900,319000,320000,324500,325000,328500,325000,329000,349900,365500,385000,399900,405000,415000,410000,415000,410000,399900,399000,395000,399000,410000,425000,429000,435000,435000,430000,425000,420000,419950,399900,405000,415000,425000,435000,449000,450000,449900,450000,455000,455000,450000,449900,449000,458880,469500,479999,489000,495000,495000,489000,489000,489000,480000,475000,475000,485000,499000,505000,510000,515000,514000,504900,508508,509000,499999,499000,499000,504495,520000,530000,539000,545000,539900,535000,539000,535000,529900,521990,519000,525000,539000,549000,549900,550000,549950,549000,549000,549000,540744,535000
"Texas",2,169900,169900,169900,170000,174118,174900,169999,169900,173000,172500,172000,169900,168000,168000,169690,169500,169950,170400,170000,169950,168500,168500,166990,166900,165900,169000,169900,170000,174900,175000,174500,174500,172000,171000,173840,174900,174500,179000,182000,185000,189000,189900,189900,189900,189900,193000,189900,190490,192500,198500,200111,209900,215000,212900,214900,219800,218000,218000,219900,225000,229462,234121,239900,245000,244990,245000,246155,248500,249000,249900,249900,255000,254900,246900,250000,254883.5,256950,259000,259000,257000,255900,259900,254900,254900,252995,259000,264990,269990,274900,274900,271389,269990,269000,269500,269000,269000,269000,269990,274900,279000,280000,280000,279900,275990,276990,275000,275000,275000,275000,276990,279900,284990,284990,285000,282735,279900,279500,278900,276000,274900
"New York",3,349000,345000,345000,339900,349000,349000,345900,339900,347500,344900,339990,338876,333000,319000,329900,329000,325000,321900,318900,310000,309000,304900,305000,3e+05,299999,309000,304900,318876,315100,309000,3e+05,299900,3e+05,305000,299900,3e+05,305990,319000,319999,319000,315000,299900,299000,294900,295000,299000,299999,3e+05,309999.5,324900,325000,325000,325000,329900,325000,320000,320000,324900,325000,325000,329999,332850,336900,334900,332000,339000,329900,324900,320000,325000,325000,325000,339000,349000,340000,350000,349000,349000,330000,329000,329900,329900,339000,339500,349800,359900,359999,359900,359000,349900,349000,339900,347000,349000,349900,349999,359900,389000,393211,395000,395000,390000,379900,374453,379900,385945,389990,395000,399725,406900,419000,428000,419999.5,414900,399900,399000,399000,399900,401990,419000
"Florida",4,199900,199800,199000,194900,190000,188888,184900,180000,179900,176900,179000,174900,174900,174900,175000,170900,175000,175900,175000,176500,179000,179900,178000,178500,178900,179900,179990,179000,178000,179500,179900,180000,179900,175000,179900,180000,187990,189900,195000,199000,199900,199900,199900,199500,199900,199900,205000,2e+05,202900,209000,210000,214900,211783.5,209900,218000,219000,219900,219000,223900,224777,225000,228000,226637,228200,229950,231000,234900,239900,243900,245000,249900,249990,249900,250000,255000,259900,259500,259900,259900,258990,259990,263000,264900,265000,270400,275000,275000,279313,279900,280000,280000,279900,284900,280000,284900,285000,287000,289000,289820,290000,294000,294990,292990,289900,290000,289900,292990,295000,294900,295000,295000,299000,299000,299000,299000,298000,295983.5,294900,295000,298900
"Illinois",5,214900,214900,215000,214900,213000,210000,2e+05,199900,196000,195000,190000,184900,179900,179000,179900,180000,184000,182900,179900,177750,174900,169900,165000,160000,159900,160000,163900,164900,164900,165000,159900,159900,158900,155000,154900,149900,149900,154900,159900,165000,169900,173000,169900,169900,169500,165000,164900,159900,159888,165000,174900,180000,189900,190000,189900,189000,185000,184000,179900,175000,174900,179900,189900,195000,202000,204000,199900,199000,195900,194900,189900,185000,185000,192000,202900,214000,215000,215000,210000,204900,2e+05,199900,199000,190000,190000,199900,214900,220000,225000,227000,224900,219900,219900,218500,214990,208000,209900,219900,229000,235000,236900,237850,234900,230000,230000,229900,229000,225000,225000,230000,239900,249000,248900,246900,241888,239000,235999,233945,229900,229000
"Pennsylvania",6,189900,189900,189900,189900,189900,189900,189900,185500,185000,184900,182106,179900,179900,179876,179900,179900,182499.5,184500,179999,179900,179000,175000,174950,174500,174900,174900,177500,179000,175999,175000,174900,169900,169500,168000,166700,164900,164900,169300,169900,174900,179900,179900,177500,173500,174900,169900,169900,174900,169900,169900,174900,179900,184900,184900,179900,179000,179000,179900,179000,174900,174900,174900,179900,184900,189000,187000,184900,179900,184000,179900,179000,174900,170000,169999,179900,183430,185000,189900,184900,179900,180000,185000,179900,178500,177000,179900,191000,199500,199050,199000,198000,194990,193975,195000,195000,189900,189900,196500,199900,209900,214500,217900,214900,209900,205000,205000,204900,199900,199900,201600,214900,219900,224900,224990,223065,215000,215900,214900,214000,212900
"Ohio",7,129900,129900,129900,134000,130965,129900,129900,129900,129900,129000,126887.5,122000,119900,119900,120000,124500,125000,128500,127000,125900,125000,124900,124900,119900,119900,120000,124000,124900,125525,126900,125000,124900,123500,120000,120000,119900,118900,119900,120000,124900,128900,129700,129000,126500,125000,125000,124900,122000,120686,124900,129500,130000,134900,137900,135900,134900,134700,132900,129900,129000,129500,129999,134900,139000,139900,139900,139900,139900,139500,135000,134900,130000,131000,133900,135990,142000,145500,147900,148500,144900,144900,142700,139900,139000,139000,139900,147900,150000,157900,159900,159900,159900,156900,157000,151900,149900,149900,151900,159900,165000,169900,172000,170650,169900,169500,165900,164900,160000,164894,165055,174727,179900,179900,180000,179900,179000,176830,174900,169900,169900
"Michigan",8,129000,128900,127900,128900,127900,124900,124000,120000,119900,119900,118900,110000,109000,109000,109000,109000,114900,115000,114900,114900,114900,110000,109900,103000,1e+05,99900,105000,109500,110000,114550,114900,112900,110000,109900,109900,107400,109000,109900,114900,119900,125000,129900,129900,129900,129900,128850,124900,122500,119900,122000,127500,134900,139900,140000,139900,139900,139900,138000,133300,129900,129900,129900,135000,140000,147000,149900,149900,149000,145300,142900,139900,139000,136900,138900,144400,149900,154500,155527.5,158900,155250,154900,154000,149900,149900,149900,152000,159900,165000,169900,174900,174900,171408.5,169900,169900,169000,164900,165000,169000,172000,184900,185000,187500,188000,185000,184900,179900,179900,175000,174900,175000,179900,189900,194900,195900,194900,189900,189000,184500,179900,179900
"Georgia",9,179550,179000,179000,179500,177987,174900,172500,170000,169900,169000,165000,159900,158500,155000,155000,153800,154900,155000,154900,151000,150000,149900,149000,145000,144900,147500,149500,149900,149999,150000,153999,154930,154900,157000,159900,159900,159900,164900,168500,171900,175000,177500,178000,175500,177900,175900,175000,174260,172900,175000,179900,185000,189000,190000,190000,189900,186900,185000,185000,183000,184000,185075,189000,190000,194900,196900,198000,199200,199450,199000,198900,199000,199000,199000,2e+05,210000,215000,219000,219000,215000,215000,217500,215000,214900,214900,218890,225000,230000,235000,237500,238000,235900,238700,239500,239900,239900,240000,245000,249900,253929,258000,259000,254000,250000,252000,250000,250000,249900,249900,254887,259990,264900,265000,264900,260000,259900,260000,259900,259900,260000
"North Carolina",10,199900,199900,199900,199900,199900,199000,198000,194900,192900,194900,194900,189900,187494.5,185000,187900,189000,189900,189900,189500,189000,187600,186500,185000,182500,181000,182500,185000,185000,184900,184900,181900,182000,179900,179900,179900,179900,179900,184900,188000,189900,194900,199000,196000,195000,195900,195500,192900,194900,189900,191770,198000,199885.5,199999,199900,199900,199900,199900,199800,199900,199000,199000,199962.5,199900,209000,215000,219000,219000,218900,217500,219000,219000,215900,219900,220000,224900,228900,229900,229900,229900,229900,229900,230000,229900,229900,229000,230400,238052,246765,249900,250000,250000,249900,250000,252000,254000,254000,255990,257900,259990,261500,263035,265000,264900,260000,265000,265000,265000,266149.5,265241,266000,270000,275000,275000,275990,275000,274900,275000,274990,274990,275000
"New Jersey",11,329900,329900,339000,335000,334900,330000,329000,325000,320000,319000,315000,304999,299900,299500,299900,299900,299900,299900,299000,299000,295000,289999,285000,279900,279000,279900,288000,285995,289000,285000,279900,279000,279900,275000,274900,269900,269000,274900,279000,285000,290000,289999,289900,288000,285000,280000,279000,275000,272500,275000,285000,295000,299000,299500,299000,297000,298000,294900,289500,280000,279900,280000,289000,299000,299500,299900,314900,3e+05,3e+05,299900,299000,289000,284100,289000,299000,309000,315000,318000,314900,301900,3e+05,299900,299000,287900,284999,289700,299000,305000,314900,315900,315000,309000,309900,305000,299900,297900,290000,299900,309900,324900,329000,335000,334900,329583,329900,329900,327000,319900,319000,317900,329000,339000,340000,349000,344900,339900,345000,345000,340000,340000
"Virginia",12,242900,240000,244500,245000,245000,244900,239900,239000,239500,237500,235000,229000,225000,224900,229900,230000,235700,239000,235000,235000,232900,230000,229000,224900,224950,225549,229990,234900,237950,238990,235000,230000,229900,229500,229000,225000,225000,229900,236995,246900,249900,249900,249000,245000,245000,240000,239000,235500,237320,238900,249000,259000,265000,266990,265000,264950,264900,259950,259000,250000,249900,258000,265000,275000,279900,279950,273950,275000,275000,275000,269990,269000,265000,259950,279000,289500,292500,290000,289300,284900,282000,279900,278000,274900,269960,278000,289900,299900,3e+05,3e+05,299900,299000,299000,299500,299000,289900,289900,295000,299950,312000,315000,315000,310000,304900,305000,302950,299990,299000,294900,299900,312790,319990,320000,319999,315000,310000,310000,309500,304994,3e+05
"Washington",13,279950,279500,279900,278900,279000,279000,275000,275000,269950,266550,260000,254500,249888,245000,244950,239900,239900,239950,239950,239900,239525,234900,229000,224950,224000,225000,229900,235000,239900,244900,244950,245000,240000,240000,239900,235000,235000,239900,244900,249900,259000,260000,265000,264950,266900,266875,259950,259000,253250,259000,265000,269999,275000,280000,284000,284900,284900,279950,275000,270000,269950,274950,279950,289000,295000,297444,295000,299000,299000,299000,297943.5,294950,292700,294900,299000,302000,314900,319900,320000,319950,319950,324500,319950,319000,319900,325000,335000,344972.5,350000,358000,359000,355000,359000,359000,359000,352825,349950,364000,375000,384950,390900,398500,395000,395000,399000,399000,398700,397900,398000,399900,415000,420000,425000,425000,424900,418000,419900,419500,419850,415000
"Massachusetts",14,334900,334900,334900,334900,334900,330000,329900,329000,325000,323500,319887.5,304900,299900,299900,309900,311000,319900,324900,319000,315000,317500,313900,299900,299000,299900,299900,315000,324900,325000,325000,319900,319000,320000,319900,324000,319000,315000,325000,329900,339900,349000,349900,349000,339900,339900,340000,339900,339000,334900,344900,349000,349900,359000,354900,349900,349000,349000,349900,349900,344900,339900,344900,349900,359000,362500,366000,359900,359000,359900,359900,359900,350000,350000,359900,379000,389900,395000,399000,389900,387000,389900,399000,397500,389000,386997.5,399000,414900,425000,429000,429900,425000,419900,424900,424900,420000,419000,419000,424900,435000,449000,450000,450000,449000,439000,444900,440000,439900,439000,435000,439900,454900,474900,479900,479900,470872.5,459900,465900,464999,465000,469000
"Indiana",15,129900,129900,129900,129900,130000,132500,129900,129900,129900,129900,129900,126502,125000,127900,129500,129900,129900,130000,130000,129900,129900,129900,129000,125000,124930,124900,125000,126900,127900,128500,128000,125000,124900,124900,124500,122335,120000,124500,127500,129900,129987,132000,130000,129900,129900,129900,129000,125000,124900,126900,130000,134900,139000,139900,139900,139500,137500,135000,134900,130000,132000,134900,138800,139900,140000,142500,140000,139900,139900,139000,138500,134900,134900,134900,139000,140600,145000,149000,149500,145000,145000,145000,144900,144900,143900,146900,154900,161850,167900,169300,169900,168990,169900,169900,168900,166500,169900,169900,175000,180000,185000,188990,184900,183600,179990,179900,179086,175000,177750,179900,185000,189900,194900,195000,194900,190990,189900,189000,185000,186870
